file,location,year_diff,year_pub
1,3,7,2012
1,3,7,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,7,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,7,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,7,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,7,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,7,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,4,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,4,5,2012
1,3,5,2012
1,3,7,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,0,5,2012
1,3,5,2012
1,3,7,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,5,2012
1,3,7,2012
1,3,5,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,7,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,7,2012
1,3,7,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,5,4,2012
1,3,4,2012
1,3,4,2012
1,5,4,2012
1,3,4,2012
1,3,4,2012
1,1,7,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,4,4,2012
1,3,4,2012
1,0,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,7,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,4,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,7,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,3,4,2012
1,0,4,2012
1,3,4,2012
1,3,4,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,6,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,4,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,6,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,4,3,2012
1,3,3,2012
1,3,3,2012
1,4,3,2012
1,3,3,2012
1,3,3,2012
1,3,6,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,3,2012
1,3,2,2012
1,3,2,2012
1,3,6,2012
1,3,2,2012
1,3,2,2012
1,3,2,2012
1,3,2,2012
1,3,2,2012
1,3,1,2012
1,5,1,2012
1,3,1,2012
1,3,1,2012
1,3,1,2012
1,3,1,2012
1,3,6,2012
1,3,1,2012
1,3,1,2012
1,3,0,2012
1,1,0,2012
1,3,6,2012
1,3,7,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,1,6,2012
1,3,7,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,7,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,7,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,7,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
1,3,6,2012
