file,location,year_diff,year_pub
1,1,9,2010
1,1,7,2010
1,1,7,2010
1,1,7,2010
1,1,7,2010
1,1,6,2010
1,5,6,2010
1,1,6,2010
1,5,6,2010
1,1,6,2010
1,5,6,2010
1,1,6,2010
1,1,6,2010
1,1,6,2010
1,5,8,2010
1,5,6,2010
1,1,6,2010
1,1,5,2010
1,1,5,2010
1,1,5,2010
1,5,5,2010
1,1,5,2010
1,6,5,2010
1,5,5,2010
1,1,5,2010
1,5,4,2010
1,3,4,2010
1,1,4,2010
1,1,8,2010
1,5,4,2010
1,5,4,2010
1,1,4,2010
1,5,4,2010
1,1,4,2010
1,1,4,2010
1,1,4,2010
1,5,4,2010
1,1,4,2010
1,5,4,2010
1,1,4,2010
1,0,4,2010
1,5,8,2010
1,5,4,2010
1,5,4,2010
1,1,4,2010
1,1,4,2010
1,5,3,2010
1,1,3,2010
1,5,3,2010
1,3,3,2010
1,5,3,2010
1,1,3,2010
1,5,3,2010
1,1,3,2010
1,1,3,2010
1,1,3,2010
1,1,8,2010
1,1,3,2010
1,5,3,2010
1,1,3,2010
1,5,3,2010
1,5,3,2010
1,1,3,2010
1,5,2,2010
1,1,2,2010
1,5,2,2010
1,1,2,2010
1,5,2,2010
1,1,2,2010
1,5,1,2010
1,5,1,2010
1,1,1,2010
1,5,8,2010
1,5,7,2010
1,1,7,2010
2,3,9,2010
2,3,7,2010
2,3,2,2010
2,3,2,2010
2,3,2,2010
2,3,2,2010
2,3,2,2010
2,3,2,2010
2,1,2,2010
2,3,2,2010
2,3,2,2010
2,3,2,2010
2,1,7,2010
2,4,2,2010
2,5,2,2010
2,3,2,2010
2,3,2,2010
2,4,2,2010
2,3,2,2010
2,4,2,2010
2,5,2,2010
2,3,1,2010
2,5,1,2010
2,5,1,2010
2,0,1,2010
2,3,0,2010
2,3,7,2010
2,3,7,2010
2,1,7,2010
2,3,6,2010
2,3,6,2010
2,3,6,2010
2,5,6,2010
2,3,6,2010
2,3,8,2010
2,3,6,2010
2,3,6,2010
2,3,6,2010
2,3,6,2010
2,5,6,2010
2,3,6,2010
2,3,6,2010
2,1,6,2010
2,3,6,2010
2,3,6,2010
2,1,6,2010
2,1,6,2010
2,3,8,2010
2,3,6,2010
2,1,5,2010
2,3,5,2010
2,3,5,2010
2,1,5,2010
2,3,5,2010
2,3,5,2010
2,1,5,2010
2,3,5,2010
2,1,5,2010
2,3,8,2010
2,3,5,2010
2,1,5,2010
2,3,5,2010
2,0,5,2010
2,3,5,2010
2,3,5,2010
2,3,5,2010
2,3,5,2010
2,3,5,2010
2,3,5,2010
2,3,5,2010
2,4,8,2010
2,1,8,2010
2,3,5,2010
2,3,5,2010
2,3,5,2010
2,3,5,2010
2,3,5,2010
2,1,5,2010
2,3,4,2010
2,3,4,2010
2,1,4,2010
2,3,4,2010
2,3,4,2010
2,5,8,2010
2,3,4,2010
2,3,4,2010
2,4,4,2010
2,3,4,2010
2,3,4,2010
2,1,4,2010
2,3,4,2010
2,1,4,2010
2,1,4,2010
2,5,4,2010
2,3,4,2010
2,3,7,2010
2,3,4,2010
2,3,4,2010
2,4,4,2010
2,3,4,2010
2,3,4,2010
2,3,4,2010
2,4,4,2010
2,3,4,2010
2,5,4,2010
2,3,4,2010
2,1,4,2010
2,3,3,2010
2,3,7,2010
2,3,3,2010
2,5,3,2010
2,1,3,2010
2,5,3,2010
2,3,3,2010
2,3,3,2010
2,4,3,2010
2,3,3,2010
2,1,3,2010
2,3,3,2010
2,3,7,2010
2,3,3,2010
2,3,3,2010
2,3,3,2010
2,1,3,2010
2,5,3,2010
2,4,3,2010
2,3,3,2010
2,3,3,2010
2,3,3,2010
2,3,3,2010
3,1,7,2012
3,1,6,2012
3,1,6,2012
3,1,5,2012
3,1,5,2012
3,1,5,2012
3,1,5,2012
3,1,5,2012
3,1,5,2012
3,1,5,2012
3,1,6,2012
3,1,5,2012
3,1,4,2012
3,1,4,2012
3,1,4,2012
3,5,4,2012
3,5,4,2012
3,5,4,2012
3,1,4,2012
3,1,4,2012
3,5,4,2012
3,1,4,2012
3,1,4,2012
3,1,6,2012
3,1,4,2012
3,1,4,2012
3,1,4,2012
3,1,3,2012
3,3,3,2012
3,1,3,2012
3,1,3,2012
3,1,3,2012
3,1,3,2012
3,1,3,2012
3,1,6,2012
3,3,3,2012
3,5,2,2012
3,1,2,2012
3,1,2,2012
3,1,2,2012
3,1,2,2012
3,1,2,2012
3,1,2,2012
3,1,2,2012
3,1,2,2012
3,1,2,2012
3,1,6,2012
3,1,2,2012
3,1,2,2012
3,1,2,2012
3,1,2,2012
3,5,2,2012
3,1,2,2012
3,1,1,2012
3,1,1,2012
3,1,1,2012
3,1,1,2012
3,5,1,2012
3,5,6,2012
3,1,1,2012
3,1,1,2012
3,1,1,2012
3,0,1,2012
3,0,1,2012
3,5,1,2012
3,0,1,2012
3,1,1,2012
3,1,0,2012
3,1,0,2012
3,1,6,2012
3,5,6,2012
3,1,6,2012
4,1,10,2007
4,1,7,2007
4,4,6,2007
4,1,6,2007
4,1,6,2007
4,5,6,2007
4,1,6,2007
4,1,5,2007
4,1,5,2007
4,1,5,2007
4,1,5,2007
4,1,10,2007
4,1,4,2007
4,1,3,2007
4,1,3,2007
4,5,2,2007
4,1,2,2007
4,5,1,2007
4,5,8,2007
4,1,8,2007
4,1,8,2007
4,1,7,2007
4,1,7,2007
4,1,7,2007
5,1,8,2011
5,3,6,2011
5,1,6,2011
5,1,6,2011
